,club_id,first,last,nation,position,club,age,born,mp,starts,minutes,goals,assists,pk,pkatt,yellow_card,red_card
41,5,Paul,Arriola,us USA,"FW,MF",DC United,23.0,1995.0,29.0,28.0,2425.0,6.0,2.0,0.0,0.0,6.0,1.0
42,4,Artur,,br BRA,MF,Columbus Crew,22.0,1996.0,30.0,28.0,2450.0,0.0,0.0,0.0,0.0,4.0,0.0
43,16,Carlos,Ascues,pe PER,"MF,DF",Orlando City SC,26.0,1992.0,17.0,14.0,1111.0,1.0,1.0,0.0,0.0,2.0,0.0
44,18,Dairon,Asprilla,co COL,"FW,MF",Portland Timbers,26.0,1992.0,13.0,7.0,564.0,2.0,0.0,1.0,1.0,1.0,1.0
45,18,Jeff,Attinella,us USA,GK,Portland Timbers,30.0,1988.0,10.0,10.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0
46,7,Francis,Atuahene,gh GHA,FW,FC Dallas,22.0,1996.0,1.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0
47,10,Eduard,Atuesta,co COL,MF,LAFC,21.0,1997.0,30.0,30.0,2631.0,3.0,8.0,0.0,0.0,8.0,0.0
48,23,Auro,,br BRA,DF,Toronto FC,23.0,1996.0,23.0,22.0,1883.0,0.0,3.0,0.0,0.0,0.0,0.0
49,2,Micheal,Azira,ug UGA,MF,Chicago Fire,31.0,1987.0,4.0,2.0,218.0,0.0,0.0,0.0,0.0,1.0,0.0
50,12,Micheal,Azira,ug UGA,MF,Montreal Impact,31.0,1987.0,19.0,16.0,1444.0,0.0,1.0,0.0,0.0,3.0,0.0
52,7,Dominique,Badji,sn SEN,FW,FC Dallas,26.0,1992.0,28.0,24.0,2029.0,6.0,3.0,0.0,0.0,6.0,0.0
53,24,Theo,Bair,ca CAN,"FW,MF",Vancouver Whitecaps,19.0,1999.0,17.0,10.0,822.0,2.0,2.0,0.0,0.0,1.0,0.0
54,19,Corey,Baird,us USA,"FW,MF",Real Salt Lake,23.0,1996.0,31.0,23.0,2098.0,5.0,3.0,0.0,0.0,6.0,0.0
55,24,Lass,Bangoura,gn GUI,FW,Vancouver Whitecaps,26.0,1992.0,17.0,7.0,634.0,1.0,1.0,0.0,0.0,1.0,0.0
56,22,Botond,Baráth,hu HUN,DF,Sporting Kansas City,26.0,1992.0,21.0,20.0,1748.0,1.0,0.0,0.0,0.0,6.0,0.0
57,1,Ezequiel,Barco,ar ARG,"FW,MF",Atlanta United,19.0,1999.0,15.0,11.0,975.0,4.0,2.0,0.0,0.0,1.0,0.0
58,15,Tom,Barlow,us USA,FW,New York Red Bulls,23.0,1995.0,12.0,8.0,602.0,3.0,0.0,0.0,0.0,0.0,0.0
59,7,Michael,Barrios,co COL,FW,FC Dallas,27.0,1991.0,32.0,31.0,2724.0,5.0,13.0,0.0,0.0,6.0,0.0
60,3,Cole,Bassett,us USA,MF,Colorado Rapids,17.0,2001.0,20.0,14.0,1059.0,2.0,1.0,0.0,0.0,1.0,0.0
61,12,Clement,Bayiha,ca CAN,"FW,MF",Montreal Impact,19.0,1999.0,11.0,4.0,473.0,0.0,1.0,0.0,0.0,0.0,0.0
62,8,DaMarcus,Beasley,us USA,DF,Houston Dynamo,36.0,1982.0,12.0,12.0,1030.0,0.0,2.0,0.0,0.0,0.0,0.0
63,19,Kyle,Beckerman,us USA,MF,Real Salt Lake,36.0,1982.0,25.0,24.0,2127.0,0.0,4.0,0.0,0.0,9.0,0.0
64,17,Alejandro,Bedoya,us USA,MF,Philadelphia Union,31.0,1987.0,32.0,32.0,2833.0,4.0,3.0,0.0,0.0,6.0,0.0
65,14,Dan,Bedoya,co COL,FW,New York City FC,24.0,1994.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
66,10,Steven,Beitashour,ir IRN,DF,LAFC,31.0,1987.0,25.0,24.0,1875.0,1.0,2.0,0.0,0.0,3.0,0.0
67,4,Joe,Bendik,us USA,GK,Columbus Crew,29.0,1989.0,6.0,6.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0
68,23,Nicolas,Benezet,fr FRA,"FW,MF",Toronto FC,27.0,1991.0,8.0,5.0,438.0,2.0,0.0,0.0,0.0,2.0,0.0
69,6,Leonardo,Bertone,ch SUI,MF,FC Cincinnati,24.0,1994.0,25.0,22.0,2056.0,1.0,1.0,0.0,0.0,9.0,0.0
